"date";"mean";"se"
1863,78279641315;0,558824494323044;0,0179091324399781
1863,86582530721;0,559036379802728;0,0180062972174493
1863,94885420126;0,559256706678437;0,0181077409918121
1864,03188309532;0,559482217096186;0,0181965920887413
1864,11491198937;0,559687968873935;0,0182618365270894
1864,19794088343;0,559890041905924;0,0182972636137591
1864,28096977748;0,560055500559628;0,0182992461755986
1864,36399867154;0,56017595236985;0,0182694306246699
1864,44702756559;0,560247994710952;0,0182149382326139
1864,53005645965;0,560229006186855;0,018143291021503
1864,6130853537;0,560143500560001;0,0180654602212697
1864,69611424776;0,559943277704654;0,0179913092844938
1864,77914314181;0,55965377609534;0,0179300453076934
1864,86217203587;0,559278567263998;0,0178866163056854
1864,94520092992;0,558832390378723;0,0178626565606522
1865,02822982398;0,558321270146939;0,0178533152607037
1865,11125871803;0,557797529569395;0,0178447324779512
1865,19428761209;0,557326333382903;0,0178292608215994
1865,27731650614;0,556964939772506;0,0177967446511787
1865,3603454002;0,55674590226738;0,0177458793792316
1865,44337429425;0,556705914377433;0,0176749879149478
1865,52640318831;0,556855378107922;0,0175892171723046
1865,60943208236;0,557167838918612;0,0175003015455724
1865,69246097642;0,557601786684095;0,017420797895562
1865,77548987047;0,558079189802632;0,0173562357820499
1865,85851876453;0,558551438628257;0,0173132573776676
1865,94154765859;0,558923023107776;0,0172912946810092
1866,02457655264;0,559173078198843;0,0172914068422601
1866,1076054467;0,559304518174741;0,0173075232867699
1866,19063434075;0,559359792055599;0,0173320353701967
1866,27366323481;0,55934568469372;0,0173561910088997
1866,35669212886;0,559272025829596;0,0173717193331038
1866,43972102292;0,559163516361237;0,0173784492610093
1866,52274991697;0,55902702644493;0,0173775544441332
1866,60577881103;0,558861640517764;0,0173770837157607
1866,68880770508;0,558697736559649;0,0173781038466023
1866,77183659914;0,558566343547255;0,0173820339567742
1866,85486549319;0,558486154482514;0,0173906117240649
1866,93789438725;0,558469937266528;0,0173985207584933
1867,0209232813;0,558494592452743;0,0174002596835851
1867,10395217536;0,558527319204598;0,0173935746312511
1867,18698106941;0,558517904406112;0,0173757731945811
1867,27000996347;0,558478014987339;0,0173455228664478
1867,35303885752;0,558354800096704;0,0173061046838098
1867,43606775158;0,55810018619324;0,0172623900398419
1867,51909664563;0,557706120107236;0,0172213802461123
1867,60212553969;0,557173704831869;0,0171880402382382
1867,68515443374;0,556525946521092;0,0171675763112536
1867,7681833278;0,555822750862193;0,0171661462557569
1867,85121222185;0,555196796380404;0,0171834794168674
1867,93424111591;0,554772500557749;0,0172111009280228
1868,01727000996;0,554624544043778;0,0172394175098539
1868,10029890402;0,554751629891043;0,0172588371820983
1868,18332779807;0,555153751079674;0,0172642083014072
1868,26635669213;0,555800779994898;0,0172533046812709
1868,34938558618;0,55666532197456;0,0172312926197295
1868,43241448024;0,5576525486388;0,0172015464277633
1868,51544337429;0,558689919735605;0,0171663843400126
1868,59847226835;0,559694705881728;0,0171303738029734
1868,6815011624;0,560617304979925;0,0171000507344459
1868,76453005646;0,561378635407467;0,0170810706393073
1868,84755895051;0,561911606001867;0,0170767776768172
1868,93058784457;0,562209494321869;0,0170832477760058
1869,01361673862;0,562308811825702;0,0170941946844314
1869,09664563268;0,562261423008758;0,0171064081002661
