"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",297.164330777255,297.18695526123,297.166546214711,297.175607230447,297.172682328658,297.199542375044,297.170894969593,297.200286449086,297.160404413397,297.143924921209,297.176308857311,297.146901841597,297.189067077637,297.156467021595,297.17104325728,297.167234247381,297.206053508412,297.196329845082,297.146534451571,297.172587238659
"2",297.320158802379,297.095030697909,297.172925220836,297.469984713468,297.403874137185,297.366118552468,297.542964033647,297.474626991966,297.401868646795,297.255671553178,297.54360628995,297.63278503418,297.319337740811,297.465706426447,297.371540208296,297.740082550049,297.425682830811,297.309123299339,297.657144789262,297.402704134854
"3",297.759609777277,298.048374522816,298.083108659224,298.192041847923,297.917363808372,298.036790258234,297.88354436701,297.920526816628,297.761080793901,297.803389115767,298.247388111461,298.271257920699,297.898554715243,297.815450217507,297.793733700839,298.19206383445,298.107330252908,298.039187760787,297.912511721524,298.193217468262
"4",298.416633259166,298.67365694913,298.497602982955,298.73935324929,298.302352905273,298.610959347812,298.356549973921,298.611737476696,298.460652021928,298.704122578014,298.657968555797,298.612925581499,298.512816758589,298.28343706998,298.385541465066,298.530267958208,298.652384671298,298.563075741855,298.08516256159,298.635054362904
"5",299.188625682484,299.00148155906,299.081082846902,299.272546872226,298.65186178034,299.182629186457,298.859762503884,299.049571228027,299.143532007391,299.25084512884,298.843225791238,299.104987127131,299.189715090665,298.662744487416,299.130811379173,299.015522349964,298.982165596702,299.036680811102,298.523354547674,299.14508562955
"6",299.448108534379,299.24972187389,299.165497381037,299.53966626254,298.923599936745,299.247352253307,299.059096319025,298.993237235329,299.321379574862,299.563179987127,299.046240234375,299.487457344749,299.276204681397,298.932998310436,299.420369096236,299.009301688454,299.277821142023,299.328516665372,299.003746726296,299.49549186013
"7",299.323530093106,299.060712363503,298.440921922164,299.354312896729,298.853249913996,298.975479264693,298.842982136119,298.757990195534,298.671370627663,299.150375713002,298.773790394176,299.195776852694,298.904197415439,299.132222678445,299.17200088501,298.438466852362,298.875475727428,299.038373843106,298.902675004439,298.894930822199
"8",298.544367148659,298.095123707164,297.849185250022,298.09317890514,297.858803280917,297.655609200217,297.781198189475,297.810899144953,297.181586178866,298.498956714977,298.030545460094,298.298500130393,298.107173156738,298.649669577859,298.025296714089,297.677763852206,297.981721011075,298.063247403232,298.189837854559,297.986677412553
"9",297.452980804443,297.172159853849,296.960697312789,297.681184803356,297.019159143621,296.492034634677,297.009964821555,297.172865988991,296.443858129328,297.520152213357,296.861826255105,297.137411152233,297.067806798762,297.510308907249,296.777901042591,296.265316286954,297.202635262229,297.11011095914,297.219290299849,297.136371543191
"10",296.993768102472,296.467909518155,296.333379433372,297.173744271018,296.662215423584,296.395840176669,296.464316697554,296.547904552113,295.663045571067,296.986550140381,296.51810503873,296.561246906627,296.769502119585,296.848254671964,296.152823292125,295.350840759277,296.736294000799,296.477451740612,296.310250993208,296.493092276833
"11",297.346666994962,296.573158610951,296.04823774858,297.227069022439,296.613027399237,296.242663366144,296.318946630305,296.764862199263,295.899151888761,297.369484641335,296.993448153409,296.449858856201,297.415310322155,297.420755282315,296.342284462669,295.469867359508,296.704895851829,296.61717896895,297.013547793302,296.649902274392
"12",298.208419314298,296.921115251021,296.517350422252,297.574495627663,296.498234350031,296.470743283359,296.487181854248,296.934896919944,296.340628467907,297.721238084273,297.314955347235,296.951632482355,297.488353451815,297.507438729026,296.566976651278,295.616938226873,296.871539792148,297.065987812389,297.3264132413,297.057187652588
"13",298.452688043768,297.075276184082,296.29066175981,297.733748141202,296.672133775191,296.74001083374,296.870295091109,297.277775435014,296.688777299361,297.912667361173,297.362012134899,297.190453269265,297.416794447465,298.093908205899,296.596647297252,295.929745760831,297.333653051203,297.204831279408,297.421201324463,297.27880970348
"14",298.484653680975,297.270683149858,296.945378182151,297.93965287642,297.073519689387,297.122541254217,297.662403106689,297.574747952548,297.073703973944,298.111328818581,297.472588070956,297.512214868719,297.966829265248,298.234625937722,296.994036241011,296.442508558794,297.51397524747,297.354636729847,297.707203674316,297.529012367942
"15",298.953944188898,297.546264787154,297.752518879284,298.596589383212,297.430343697288,297.995362923362,298.098458584872,298.261084053733,297.976311631636,298.414750671387,297.904590537331,298.179340986772,298.533252161199,298.629107804732,297.737349839644,296.692544486306,297.904701302268,297.486203141646,298.441123199463,298.093707067316
"16",299.538368918679,297.96470191262,298.445877976851,299.080055652965,297.964182350852,298.452932600542,298.835976063121,298.618071330677,298.451142744585,298.317906050249,298.044641043923,298.545137717507,299.01139831543,299.012288804488,298.383721160889,297.498389018666,298.558747516979,298.160048744895,299.116859019886,298.693025831743
"17",299.806103584983,298.631114335494,298.890972761674,299.625056180087,298.870789337158,299.0716336337,299.626921705766,299.276921497692,299.117087693648,299.134938465465,298.448430841619,299.262859483199,299.314368300004,299.565346388383,298.863323766535,298.036600216952,299.13289344094,298.584776722301,299.521840598366,299.24870445945
"18",300.085985981334,299.041426017068,299.127052515203,299.726063676314,299.266529568759,299.419470977783,299.915437663685,299.528952026367,299.373179349032,299.189832583341,298.974428280917,299.530571885542,299.438061037931,299.676673264937,299.374082322554,298.577344235507,299.537206684459,298.470604497736,299.817647344416,299.234280464866
"19",300.154588109797,298.838964982466,299.042169883034,299.524910389293,299.208941095526,299.127278483998,299.778874622692,299.434503035112,299.250451105291,298.839758023349,298.874477455833,299.65924058394,299.313058055531,299.412759121982,299.389339793812,298.266297496449,299.493522089178,298.380310682817,299.827751783891,298.632672188499
