"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",297.206381364302,297.21659226851,297.197577320446,297.193479919434,297.169111009078,297.196933538264,297.207100053267,297.156462860107,297.174305308949,297.222644389759,297.132472922585,297.141624450684,297.173467323997,297.196418623491,297.201399092241,297.19880620783,297.162508947199,297.199040985107,297.192265944047,297.21443342729
"2",297.349799416282,297.467850008878,297.328546350653,297.420533683083,297.369492409446,297.493064394864,297.469117875533,297.548994307085,297.444965154474,297.306948505748,297.110437635942,297.17559224909,297.170248482444,297.431450445002,297.497095836293,297.460490556197,297.545271925493,297.278642342307,297.444427143444,297.303453341397
"3",297.894579315186,297.941860129616,298.05601494529,297.894672255083,298.116672446511,298.233459125866,297.906390172785,297.824647313898,297.94010106867,297.913336389715,297.944299593839,298.191930320046,297.74159337824,297.966741041704,298.057371520996,297.961551874334,297.90061340332,297.880204287442,298.160021001642,297.82135183161
"4",298.50866914229,298.492302495783,298.495070162686,298.298340121183,298.579741252552,298.665368236195,298.093308258057,298.15472536954,298.543087283048,298.447380620783,298.66532793912,298.721028692072,298.514577484131,298.495859111439,298.522343444824,298.495544641668,298.327916232022,298.666552942449,298.804009732333,298.747950397838
"5",299.084326102517,299.07450540716,298.938973305442,298.594772477583,299.290573189475,299.129381769354,298.921534937078,298.962117281827,298.873667214134,299.061337557706,299.07310367931,299.208923547918,299.206410217285,299.08637639826,299.001887650923,299.077622292259,298.878260317716,299.216476856578,298.924320914529,299.265871429443
"6",299.250200306286,299.214931557395,299.506172457608,298.578777868097,299.271787261963,299.453394664418,299.076936201616,299.273929942738,299.310421544855,299.261128997803,299.055662744695,299.41190553145,299.450423778187,299.175710227273,299.041448697177,299.317120083896,298.927290482955,299.291356312145,299.004664195668,299.286605072021
"7",298.843222878196,298.767128545588,299.207103243741,298.338593014804,298.832133553245,299.315546486594,298.806187785756,298.936126986417,299.202067704634,298.992192840576,298.655587491122,298.885591333563,299.281660600142,298.640785356001,298.899917741255,299.3190745267,298.949765361439,298.882168232311,298.650203358043,299.14858044711
"8",297.691959103671,297.662209528143,298.091556132923,297.869309095903,297.523644811457,298.258765064586,297.933572803844,297.873578297008,297.982593120228,297.729941628196,297.614542388916,298.0182531877,298.321696610884,297.693010018089,298.117735637318,298.271711939031,298.299121648615,297.751451665705,297.935099168257,298.234906630083
"9",296.96526184082,296.677194144509,297.750663410534,297.313416983864,297.066281058572,297.335769583962,297.064796863903,296.843118286133,297.46098466353,297.044045326926,296.843937752464,296.866312200373,297.711967815052,297.370147011497,297.40640557029,297.51341788552,297.250148079612,297.31769360629,297.102772938121,297.639802689986
"10",296.358697162975,296.361528500644,297.07984161377,296.484334217418,296.592444125089,296.82705598311,296.370432905717,296.438500837846,297.115790904652,296.231518346613,296.471968494762,296.245185713335,297.120923198353,297.116156075218,296.669201937589,297.102984896573,296.853402987393,296.598499090021,296.921218455922,297.204887182062
"11",296.413536487926,296.542801804976,297.484586611661,296.793157473477,296.716810469194,297.057398640026,296.258983334628,296.531174885143,297.286904907227,296.591173692183,296.645386851918,296.40992826982,297.622549646551,296.820320406827,296.409664292769,297.520535694469,296.735027521307,297.0925150091,296.718242506547,297.401605363326
"12",296.487026006525,296.781642428311,297.410142725164,296.634972173517,296.971023004705,297.26244839755,296.54159115878,297.026819610596,297.727066178755,296.938827722723,296.993415347013,296.519684878263,297.936089463667,296.972158605402,296.97790444114,298.459037988836,296.973087796298,297.57029800415,296.753866369074,297.571499078924
"13",296.713756491921,296.880578127774,297.821946230802,296.747960870916,297.410375491056,297.269345508922,296.773710979115,297.275022818825,298.151771892201,297.178709689054,297.477877807617,296.949210080234,298.352549535578,297.292003146085,296.98301856301,298.279330444336,297.350756627863,298.113820440119,297.167981165106,297.816447240656
"14",296.99592257413,297.374985434792,297.876248515736,297.249999167702,297.830323236639,298.22059915716,296.916867897727,297.612995633212,298.704995796897,297.431093181263,297.528412003951,297.248497425426,298.887644403631,297.695634876598,297.592557456277,298.547642447732,297.494830946489,297.978936004639,297.226557228782,298.286010464755
"15",297.75617315119,297.946297108043,298.610728038441,297.799600427801,298.423072745583,298.692585268888,297.456637503884,297.832704648105,299.269381089644,297.988432242654,298.350559720126,297.517234871604,298.907066345215,297.768590961803,298.147902263295,298.835421544855,297.508228579435,298.238124361905,297.537587044456,298.701036696001
