"date";"mean";"se";"case"
1850;NA;NA;"GHG"
1850,08302889406;NA;NA;"GHG"
1850,16605778811;NA;NA;"GHG"
1850,24908668217;NA;NA;"GHG"
1850,33211557622;NA;NA;"GHG"
1850,41514447028;NA;NA;"GHG"
1850,49817336433;NA;NA;"GHG"
1850,58120225839;NA;NA;"GHG"
1850,66423115244;NA;NA;"GHG"
1850,7472600465;NA;NA;"GHG"
1850,83028894055;NA;NA;"GHG"
1850,91331783461;NA;NA;"GHG"
1850,99634672866;NA;NA;"GHG"
1851,07937562272;NA;NA;"GHG"
1851,16240451677;NA;NA;"GHG"
1851,24543341083;NA;NA;"GHG"
1851,32846230488;NA;NA;"GHG"
1851,41149119894;NA;NA;"GHG"
1851,49452009299;NA;NA;"GHG"
1851,57754898705;NA;NA;"GHG"
1851,6605778811;NA;NA;"GHG"
1851,74360677516;NA;NA;"GHG"
1851,82663566921;NA;NA;"GHG"
1851,90966456327;NA;NA;"GHG"
1851,99269345732;NA;NA;"GHG"
1852,07572235138;NA;NA;"GHG"
1852,15875124543;NA;NA;"GHG"
1852,24178013949;NA;NA;"GHG"
1852,32480903354;NA;NA;"GHG"
1852,4078379276;NA;NA;"GHG"
1852,49086682165;NA;NA;"GHG"
1852,57389571571;NA;NA;"GHG"
1852,65692460976;NA;NA;"GHG"
1852,73995350382;NA;NA;"GHG"
1852,82298239787;NA;NA;"GHG"
1852,90601129193;NA;NA;"GHG"
1852,98904018598;NA;NA;"GHG"
1853,07206908004;NA;NA;"GHG"
1853,1550979741;NA;NA;"GHG"
1853,23812686815;NA;NA;"GHG"
1853,32115576221;NA;NA;"GHG"
1853,40418465626;NA;NA;"GHG"
1853,48721355032;NA;NA;"GHG"
1853,57024244437;NA;NA;"GHG"
1853,65327133843;NA;NA;"GHG"
1853,73630023248;NA;NA;"GHG"
1853,81932912654;NA;NA;"GHG"
1853,90235802059;NA;NA;"GHG"
1853,98538691465;NA;NA;"GHG"
1854,0684158087;NA;NA;"GHG"
1854,15144470276;NA;NA;"GHG"
1854,23447359681;NA;NA;"GHG"
1854,31750249087;NA;NA;"GHG"
1854,40053138492;NA;NA;"GHG"
1854,48356027898;NA;NA;"GHG"
1854,56658917303;NA;NA;"GHG"
1854,64961806709;NA;NA;"GHG"
1854,73264696114;NA;NA;"GHG"
1854,8156758552;NA;NA;"GHG"
1854,89870474925;NA;NA;"GHG"
1854,98173364331;NA;NA;"GHG"
1855,06476253736;NA;NA;"GHG"
1855,14779143142;NA;NA;"GHG"
1855,23082032547;NA;NA;"GHG"
1855,31384921953;NA;NA;"GHG"
1855,39687811358;NA;NA;"GHG"
1855,47990700764;NA;NA;"GHG"
1855,56293590169;NA;NA;"GHG"
1855,64596479575;NA;NA;"GHG"
1855,7289936898;NA;NA;"GHG"
1855,81202258386;NA;NA;"GHG"
1855,89505147791;NA;NA;"GHG"
1855,97808037197;NA;NA;"GHG"
1856,06110926602;NA;NA;"GHG"
1856,14413816008;NA;NA;"GHG"
1856,22716705413;NA;NA;"GHG"
1856,31019594819;NA;NA;"GHG"
1856,39322484224;NA;NA;"GHG"
1856,4762537363;NA;NA;"GHG"
1856,55928263036;NA;NA;"GHG"
1856,64231152441;NA;NA;"GHG"
1856,72534041847;NA;NA;"GHG"
1856,80836931252;NA;NA;"GHG"
1856,89139820658;NA;NA;"GHG"
1856,97442710063;NA;NA;"GHG"
1857,05745599469;NA;NA;"GHG"
1857,14048488874;NA;NA;"GHG"
1857,2235137828;NA;NA;"GHG"
1857,30654267685;NA;NA;"GHG"
1857,38957157091;NA;NA;"GHG"
1857,47260046496;NA;NA;"GHG"
1857,55562935902;NA;NA;"GHG"
1857,63865825307;NA;NA;"GHG"
1857,72168714713;NA;NA;"GHG"
1857,80471604118;NA;NA;"GHG"
1857,88774493524;NA;NA;"GHG"
1857,97077382929;NA;NA;"GHG"
1858,05380272335;NA;NA;"GHG"
1858,1368316174;NA;NA;"GHG"
1858,21986051146;NA;NA;"GHG"
1858,30288940551;NA;NA;"GHG"
1858,38591829957;NA;NA;"GHG"
1858,46894719362;NA;NA;"GHG"
1858,55197608768;NA;NA;"GHG"
1858,63500498173;NA;NA;"GHG"
1858,71803387579;NA;NA;"GHG"
1858,80106276984;NA;NA;"GHG"
1858,8840916639;NA;NA;"GHG"
1858,96712055795;NA;NA;"GHG"
1859,05014945201;NA;NA;"GHG"
1859,13317834606;NA;NA;"GHG"
1859,21620724012;NA;NA;"GHG"
1859,29923613417;NA;NA;"GHG"
1859,38226502823;NA;NA;"GHG"
1859,46529392228;NA;NA;"GHG"
1859,54832281634;NA;NA;"GHG"
1859,6313517104;NA;NA;"GHG"
1859,71438060445;NA;NA;"GHG"
1859,79740949851;NA;NA;"GHG"
1859,88043839256;NA;NA;"GHG"
1859,96346728662;NA;NA;"GHG"
1860,04649618067;NA;NA;"GHG"
1860,12952507473;NA;NA;"GHG"
1860,21255396878;NA;NA;"GHG"
1860,29558286284;NA;NA;"GHG"
1860,37861175689;NA;NA;"GHG"
1860,46164065095;NA;NA;"GHG"
1860,544669545;NA;NA;"GHG"
1860,62769843906;NA;NA;"GHG"
1860,71072733311;NA;NA;"GHG"
1860,79375622717;NA;NA;"GHG"
1860,87678512122;NA;NA;"GHG"
1860,95981401528;NA;NA;"GHG"
1861,04284290933;NA;NA;"GHG"
1861,12587180339;NA;NA;"GHG"
1861,20890069744;NA;NA;"GHG"
1861,2919295915;NA;NA;"GHG"
1861,37495848555;NA;NA;"GHG"
1861,45798737961;NA;NA;"GHG"
1861,54101627366;NA;NA;"GHG"
1861,62404516772;NA;NA;"GHG"
1861,70707406177;NA;NA;"GHG"
1861,79010295583;NA;NA;"GHG"
1861,87313184988;NA;NA;"GHG"
1861,95616074394;NA;NA;"GHG"
1862,03918963799;NA;NA;"GHG"
1862,12221853205;NA;NA;"GHG"
1862,2052474261;NA;NA;"GHG"
1862,28827632016;NA;NA;"GHG"
1862,37130521421;NA;NA;"GHG"
1862,45433410827;NA;NA;"GHG"
1862,53736300232;NA;NA;"GHG"
1862,62039189638;NA;NA;"GHG"
1862,70342079044;NA;NA;"GHG"
1862,78644968449;NA;NA;"GHG"
1862,86947857855;NA;NA;"GHG"
1862,9525074726;NA;NA;"GHG"
1863,03553636666;NA;NA;"GHG"
1863,11856526071;NA;NA;"GHG"
1863,20159415477;NA;NA;"GHG"
1863,28462304882;NA;NA;"GHG"
1863,36765194288;NA;NA;"GHG"
1863,45068083693;NA;NA;"GHG"
1863,53370973099;NA;NA;"GHG"
1863,61673862504;NA;NA;"GHG"
1863,6997675191;NA;NA;"GHG"
1863,78279641315;NA;NA;"GHG"
1863,86582530721;NA;NA;"GHG"
1863,94885420126;NA;NA;"GHG"
1864,03188309532;NA;NA;"GHG"
1864,11491198937;NA;NA;"GHG"
1864,19794088343;NA;NA;"GHG"
1864,28096977748;NA;NA;"GHG"
1864,36399867154;NA;NA;"GHG"
1864,44702756559;NA;NA;"GHG"
1864,53005645965;NA;NA;"GHG"
1864,6130853537;NA;NA;"GHG"
