"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",297.1885025718,297.189082267068,297.15587720004,297.178198588978,297.162516299161,297.187518033114,297.190639218417,297.189422052557,297.196476052024,297.201877593994,297.174547784979,297.175148773193,297.226781324907,297.184444982355,297.182437411222
"2",297.262631711093,297.237245039506,297.283512531627,297.452207391912,297.526620968905,297.517221485485,297.397995341908,297.390353046764,297.373859474876,297.314269742099,297.279252971302,297.306458976052,297.177213634144,297.489522344416,297.316651777788
"3",297.980583190918,297.721579950506,298.169154704701,298.136683654785,297.734482019598,297.800953951749,297.970734128085,298.007629117099,298.110189056397,298.04802717729,297.724254538796,298.051186440208,297.930214275013,297.631287592108,297.927617922696
"4",298.580427759344,298.432271437211,298.529364984686,298.573239274458,298.361111519553,298.236642456055,298.258107410778,298.524156050249,298.437777987393,298.521793850985,298.519366524436,298.554197484797,298.386269239946,298.39684455178,298.350159176913
"5",298.784998321533,299.118887467818,298.866457436302,299.085963786732,298.937384934859,298.894860284979,298.73750929399,299.188883278587,299.012383547696,298.943951901523,299.076852278276,299.036112074418,298.924745941162,298.819454262473,298.836061859131
"6",298.961632121693,299.267414647883,299.084644040194,299.177137617631,299.274675889449,299.07140641646,298.77532008778,299.603336195512,299.366536851363,299.002865045721,299.203917694092,298.753254283558,299.130315468528,298.99302111539,299.293210948597
"7",298.454695753618,299.01410668113,298.701979758523,299.2272345803,299.126724798029,298.769851545854,298.755036579479,298.981725796786,299.018332464045,298.777274530584,299.118564605713,298.501266479492,299.185471552069,298.645621698553,299.170572315563
"8",297.448768477006,298.461634549228,298.013703016801,297.819878387451,298.456007246538,298.18707261519,297.834676638516,297.65793242021,298.318493374911,298.341534215754,298.201107094505,297.274231026389,298.348323336515,297.691212602095,298.383520854603
"9",296.415560705012,297.561184553667,297.304834053733,296.753063756769,297.563284509832,297.047642447732,296.910723114014,296.648115262118,296.941543717818,297.20202553489,297.722831448642,296.100095644864,297.939428364147,296.513343117454,297.473022669012
"10",295.725096407804,297.283198131214,297.083590074019,296.542104755748,297.12274128307,297.038523379239,296.252384879372,296.230912503329,296.678026303378,297.127905897661,297.073353992809,295.444578344172,297.302349090576,295.979644636674,296.920969945734
"11",295.510359399969,296.850956934149,296.818267752908,296.552587682551,297.136912675337,296.62477944114,296.516761779785,296.469116002863,296.834497000954,297.225167291815,297.118239870938,295.736552845348,297.62496767911,295.948605416038,297.617767611417
