"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",297.20342206088,297.176636713201,297.186621995406,297.161192529852,297.186411632191,297.168458973278,297.159389357133,297.215446333452,297.167636455189,297.169478121671,297.177970053933,297.19524862116,297.158922576904,297.19490925182,297.138672846014,297.193164478649,297.193199018999,297.117185557972,297.171879716353,297.153292291815,297.171515655518,297.199760853161,297.216382529519,297.191499397971,297.1636978843,297.173033905029,297.190377738259,297.202416922829,297.174266884544,297.208995264227,297.112215909091,297.162799488414,297.105397727273,297.201225696911,297.190980668501,297.171376037598,297.193099698153,297.192407573353,297.175613680753,297.189148504084
"2",297.572236355868,297.348846782338,297.211701479825,297.351991271973,297.394209220193,297.244218930331,297.395469110662,297.450130185214,297.688731176203,297.239471366189,297.295380054821,297.544874503396,297.614806365967,297.715517911044,297.485183299672,297.193919372559,297.1406420621,297.643421658603,297.403516526656,297.39995359941,297.447034801136,297.476924341375,297.483785247803,297.367578957298,297.343385592374,297.361552567916,297.523845256459,297.562154388428,297.478141923384,297.253676327792,297.404829545455,297.366055575284,297.491477272727,297.327264473655,297.508441925049,297.407228573886,297.422888044877,297.320315135609,297.37725649747,297.460009696267
"3",297.952650243586,298.269902662797,298.014621457187,298.11064675071,298.024656399814,297.951326127486,298.101489604603,298.221989302202,298.074029263583,298.298056238348,298.260477724942,298.212284157493,298.110281580145,298.134872644598,297.893712338534,298.162994662198,297.833120866255,298.122805023193,298.112021290172,297.790530256792,298.153669600053,298.095978684859,298.082296891646,297.988915252686,298.11869728782,298.089045091109,297.877696297385,297.968652690541,298.174528919567,298.050798936324,298.00625,298.086419747093,297.929261363636,298.191639709473,297.934205141934,298.261665344238,298.21874667081,297.976942443848,298.136591893976,298.348620050604
"4",298.427684020996,298.839923165061,298.665571941029,298.283094024658,298.624406918612,298.70841737227,298.702993150191,298.771119273793,298.448654799028,298.626714394309,298.65348184759,298.327887448398,298.671885819869,298.322034038197,298.534172612971,298.587298098477,298.465529493852,298.676232979514,298.457775532116,298.704320318049,298.492295005105,298.447203341397,298.209632596103,298.5120031877,298.619504547119,298.840801585804,298.531538044323,298.098363425515,298.103167031028,298.666905212402,298.166761363636,298.622624969482,298.273579545455,298.372302107377,298.115747347745,298.614131164551,298.464637340199,298.622956223921,298.637041404031,298.778241174871
"5",298.967560993541,299.261677065763,299.105729536577,298.889804077148,299.200415663286,299.182051502575,299.397704800692,299.381757354736,299.013003470681,299.090973316539,299.165964438698,299.155830730091,298.851428222656,298.92783501365,299.027148645574,298.944327267734,298.855937125466,299.02852082686,298.931447809393,299.162755376642,298.975189486417,298.982207697088,298.933526403254,299.136172415993,299.41289804632,299.250272508101,299.115855546431,298.851390699907,298.927155095881,298.999480438232,298.509659090909,299.195765269886,298.653125,298.750978157737,298.810047288374,299.242431363192,299.045662481135,299.248337000067,298.958481528542,299.250833754106
"6",299.218405220725,299.520150201971,299.321633494984,298.983942898837,299.524435078014,299.130036648837,299.580318867077,298.879247700084,298.872122539173,299.223278392445,299.262783536044,299.384151805531,298.975710088556,299.186209869385,299.37797386863,299.312145996094,299.153624031761,299.016752347079,299.243924851851,299.211267436634,299.186936603893,299.265998216109,299.231639029763,299.322241696444,299.622518643466,299.169532498446,299.251862196489,299.35677205866,298.934204378995,299.313845755837,298.667045454545,299.225976215709,298.628125,298.977031569047,299.033462732488,299.62003846602,299.157143124667,299.335006644509,299.465325164795,299.231050872803
"7",298.887739216198,299.263582819158,298.893680225719,298.999123521285,299.508892752908,298.780982971191,299.02243902033,298.523645643754,298.534201049805,299.019752433083,299.020698339289,299.02671141191,298.779247769442,299.016048986262,299.146642234109,299.193447945335,298.867436218262,298.594523898038,298.745426663485,298.93630620783,299.131349251487,299.184213811701,299.383071621982,299.564141776345,299.11592760953,298.65304704146,298.822784839977,299.235444641113,298.781052398682,298.974482657693,298.682102272727,298.80362257524,298.078977272727,298.874815229936,298.915301374956,299.137466638738,298.724955125289,299.078273426403,299.448813421076,298.979177370938
"8",297.943375743519,297.94102193659,297.970156374845,298.10269463279,298.418658100475,297.714135534113,298.295347525857,297.650339716131,297.788898814808,297.656196108731,298.070849748091,297.905446139249,297.881323380904,298.005218713934,297.910120114413,298.25886480158,297.924091477828,297.638688104803,297.833843161843,297.586413088712,298.097413357821,297.82311741222,298.616309287331,298.610595841841,297.866186107289,297.373281236128,297.974981342662,298.362842767889,297.962047993053,297.774964696711,297.798295454545,297.640999395197,297.00625,298.012449576638,298.236871823398,298.131451832164,298.007685019753,297.954811373624,298.292541226474,298.101004652544
"9",296.878372053667,297.028955979781,297.768193123557,297.3165124373,297.735474326394,296.751353801381,297.500303719261,297.131008703058,297.406355008212,296.858436584473,297.477451740612,297.223195648193,297.074556107955,297.446000671387,297.279533455589,297.05063344782,296.904015142267,296.752277304909,296.625758292458,296.480273021351,297.384223175049,297.135250091553,297.425966505571,297.732392051003,297.389997725053,296.867369287664,297.052063751221,297.808730940385,297.000770013983,296.888961375843,296.608806818182,296.433790241588,296.272443181818,296.994943098588,297.446750640869,297.112243444269,296.895773454146,297.360262922807,297.964822734486,297.216663083163
"10",296.745260550759,296.563870308616,297.533016135476,297.073483276367,297.321761183305,296.268755895441,297.30064683394,296.514358659224,296.637498404763,296.776890078458,297.060533350164,296.520197365501,296.379151916504,296.753442798961,296.780477835915,296.599509707364,296.576524075595,295.869781979648,296.088258500533,296.331991022283,297.260478210449,296.636858714711,297.156338154186,297.454365747625,296.920720395175,295.92370633212,296.450409143621,297.323720689253,296.617626953125,296.945057331432,295.952556818182,295.974242955988,295.766761363636,296.674131705544,296.826365384189,296.866544411399,296.400440909646,296.96495104703,297.354777180065,296.582010303844
"11",296.328172926469,295.928369764848,297.516205250133,296.714970259233,297.111416625977,296.711067615856,297.753400351784,296.219737035578,297.072067052668,297.087029959939,297.011811828613,297.108308271928,296.599379660866,296.722816467285,297.212256622314,296.226741721413,296.772091050581,296.282820337469,296.179959591952,296.414847495339,296.901945079457,296.51904296875,297.423917111483,297.529751794988,297.01398190585,296.104318722812,296.085947487571,297.381205472079,296.026699066162,296.828574718129,296.232386363636,295.65630347512,295.730113636364,296.996703061191,296.914899028431,297.132862715288,296.461037167636,296.677708226984,297.521714435924,296.636933898926
"12",296.63247535012,296.466478521174,298.045895247026,297.012415660511,297.428033794056,297.237268135764,297.858139523593,296.676582475142,297.304571255771,297.258822076971,297.775881958008,297.490181246671,297.102582411333,297.297109777277,297.50299911499,296.721750086004,297.221005873247,296.727321763472,296.447002827037,297.003415541215,297.147060116855,297.049443054199,297.735979808461,297.780266362971,296.793456337669,296.341323783181,296.597028628263,297.823374800249,296.340774050626,297.171490409158,296.334090909091,296.186858922785,296.076704545455,297.474012340199,297.34526831887,297.259591189298,296.625832713734,296.959394350919,297.977614316073,296.53439726396
"13",296.950439522483,296.649738173051,298.390663077615,297.034131206166,297.877468733354,297.262078233199,298.196684195779,296.864651627974,297.2638040716,297.385292608088,297.934451710094,297.78678075617,297.589141845703,297.673736572266,297.744074596058,297.039930031516,297.254635342685,297.047607491233,296.686291503906,296.94483684193,297.37928834395,297.176157587225,297.701246712425,298.050417466597,296.818481653387,296.575220420144,296.996472584118,298.545306743275,296.766145255349,297.136915727095,296.515340909091,296.512825913863,296.303409090909,297.904425395619,297.763837363503,297.357124883478,296.909933055531,297.478182428533,298.428596912731,296.93847212358
"14",297.533736558394,297.458872084184,298.933856686679,297.625822379372,298.394525146484,297.742142972079,298.3998507413,297.180964105779,297.517993580211,297.664744706587,298.210127466375,297.906394126199,297.895710754395,297.743773096258,298.208303555575,297.364552168413,297.69376040372,297.545490126176,296.973461220481,297.363190252131,297.600648498535,297.34740115079,298.04467308738,298.170772413774,296.854829961603,296.660937222567,297.382328935103,298.702204686945,297.329340293191,297.374804964933,296.837784090909,296.942010636763,296.841761363636,298.193722464822,297.72168932828,297.950217299028,297.394997197931,297.449643083052,298.793618288907,297.288517691872
"15",297.905394883589,297.852631170099,299.213280487061,298.154427615079,298.868422282826,298.488453604958,298.272185516357,297.867514592951,298.031637711958,298.250656544078,298.681474304199,298.777586780895,298.309248213335,298.411377716064,298.560932228782,297.487066650391,298.413890491832,298.098042921586,297.609494642778,297.733918346058,298.151212033358,297.811121715199,298.425191567161,298.783966619318,297.320704928311,297.466240622781,298.090393968062,299.066028525613,297.858655964245,298.117333845659,297.549147727273,297.614220497825,297.172443181818,298.542703593861,298.37622458718,298.539711692116,298.190104605935,298.082003437389,299.229718988592,298.055914584073
"16",298.579674252597,298.108713045987,299.548163604736,298.751134629683,299.362336800315,298.883165186102,298.56146476052,298.474858717485,298.587476279519,298.814828213778,299.107477638938,299.254081518,298.699390966242,299.005405842174,299.114745261452,298.318923950195,298.823973777077,298.555107255415,298.264070406827,298.60772746693,298.892632085627,298.233544505726,299.021726296165,299.303743119673,297.962954157049,298.171207844127,298.551655093106,299.310689197887,298.261420995539,298.669709569758,298.103125,298.187041265314,297.663068181818,299.123381181197,298.954342582009,299.153203027899,298.728137484464,298.772340809215,299.970829703591,298.336784987016
"17",298.867652962425,298.845913210782,299.752198999578,299.27632931796,299.799757801403,299.231791409579,299.019488664107,298.866488023238,299.102885714444,299.292360617898,299.797811612216,299.617063626376,299.135954631459,299.39494601163,299.546691547741,299.165931008079,299.288197465376,299.058662900058,298.945138203014,299.248315915194,299.375804484974,298.875048689409,299.633433879506,299.677541975542,298.651914561879,298.747153195468,299.110760428689,299.596754178134,298.859441791881,299.147801347212,298.407954545455,298.593335585161,298.218181818182,299.630257277055,299.411852333762,299.532182658802,299.158854467219,299.223365020752,300.275954229181,298.932128212669
"18",299.458280181885,299.258348014138,299.989328072288,299.800681304932,299.983126900413,299.564911443537,298.729018887607,299.371777551824,299.539606614546,299.632244179466,299.852473865856,299.785290457986,299.402545443448,299.72470182939,299.97941235629,299.253607801958,299.549141554399,299.384977167303,299.319403492321,299.734370075573,299.496400243586,299.163303028453,299.83681231412,299.518446974321,298.885570942272,299.214976362749,299.413297826594,299.499980926514,299.310050617565,299.485428133878,298.538352272727,299.108770266446,298.809943181818,299.80062047785,299.642740423029,299.768481375954,299.531564955278,299.728427678889,300.406006552956,299.360002691096
"19",299.472182672674,299.295601654053,299.627548217773,299.546190504594,299.514670146595,299.22684582797,298.173162911155,299.332871801203,299.514713911577,299.208895388517,299.837241224809,299.058285661177,299.060260148482,299.906103931774,299.897042499889,299.210300445557,299.888368571888,299.128899175471,299.271632038463,299.439589136297,299.645750080455,299.210784842751,299.48221615878,299.084471130371,298.664294502952,298.704650324041,298.778146986528,298.940728066184,299.267138394442,299.550608686967,298.488068181818,299.364519639449,298.969034090909,299.779931016402,299.664997239546,299.158041520552,298.944208457253,299.633336639404,300.488286798651,299.436410383745
"20",298.842483936657,298.592018612948,298.300392428311,298.839019289884,298.796326654608,298.116536365856,297.040165571733,298.629087344083,298.659534107555,298.847360645641,299.234539933638,298.456339680065,297.691485803778,299.293160872026,299.014822110263,298.336537794633,299.418044974587,298.632074182684,298.446044644442,299.099070670388,298.758584872159,298.092430253462,298.712664448131,297.957467096502,298.258819094571,297.796902951327,298.129914439808,297.825893540816,298.557198749889,298.85086295388,297.748863636364,298.888184426048,298.455965909091,298.940148440274,299.429139293324,298.396869728782,298.51231398149,298.699054232511,300.317598030784,298.351523173939
"21",297.988025942716,297.545190845836,297.17773659446,298.266207747026,297.298332006281,297.770694316517,295.62028503418,297.598884305087,297.899110412598,297.796273318204,298.469312494451,297.191730984774,296.754185693914,297.845297033137,298.087842629173,297.379824343595,298.886682475697,297.812875366211,297.646926047585,298.153093303334,297.497146745162,297.323952969638,298.251752888073,296.943671209162,297.257735096325,297.200489044189,297.085784079812,297.052511249889,297.411705086448,297.516167241877,296.825284090909,297.903217731823,297.559659090909,298.154216419567,298.936364815452,297.048239413175,297.670402526855,298.270055597479,300.048395954479,297.62791630138
"22",297.571538058194,297.27416527488,296.814913524281,297.666276134144,297.175423847545,297.008460651744,295.557562810724,297.363336181641,297.236883822354,297.678527415882,298.105521254106,296.548788937655,296.360161243786,297.286532939564,298.342857222124,296.802029488303,298.735243294456,297.278217801181,297.685874176025,297.891680075906,297.262313704057,296.994574113326,297.711204043302,296.580357499556,297.077954864502,296.662592870539,297.1594611428,296.711099104448,296.83875989047,296.946485623446,296.392897727273,297.820429160378,296.873863636364,297.399188926003,298.434565179998,296.665660303289,297.29775203358,297.850099112771,299.958633839,297.276784237948
"23",297.830478529497,297.054241943359,296.574664306641,297.926429748535,297.696642858332,296.885538205234,295.38095515858,297.356649364125,297.218126470392,297.981182445179,298.652184919877,296.822658053311,296.47006593184,297.262964560769,298.479126739502,296.546737116033,299.218238483776,297.287819255482,297.82490012429,298.376477050781,297.376944802024,296.979761851918,297.538663621382,296.427959511497,296.845217548717,296.609780051491,297.002459994229,296.256585138494,296.894381436435,297.135100902211,296.365340909091,297.950670346347,296.840625,298.147643071955,299.039152665572,296.351702880859,297.458802240545,298.537197598544,300.227353252064,297.185943880948
"24",298.017079301314,297.515375172008,297.047010872581,298.210449981689,297.925601473722,297.007974312522,295.908983820135,297.46722647927,297.537053957852,298.379169602828,298.777689708363,297.125629286333,296.646213115345,297.998801838268,299.311845536665,296.759422926469,299.897349964489,297.417333984375,298.055273160067,298.790230699019,297.545386990634,297.492215936834,298.016719401966,296.894130290638,297.10488170277,297.192038934881,297.302641435103,296.764065343683,296.842654835094,297.041959034313,296.316477272727,298.074380562522,296.994318181818,298.496871046586,299.142117656361,296.927016795765,298.070872220126,299.135167971524,300.383618580211,297.594238558683
"25",298.082477430864,298.140390569513,297.21151601618,298.823133711381,297.576372250644,297.108964399858,295.74463709051,297.739571380615,297.699469340931,298.535235456987,299.397798226096,296.826343397661,296.852075611461,297.957701180198,299.543795568293,297.028466796875,300.170482635498,297.659241485596,298.205760331587,298.914924899015,297.724317793413,297.526883003928,298.693415208296,296.974689414284,297.359453305331,297.383725807884,297.599176649614,297.272062336315,297.250819396973,297.518722603538,296.409375,298.374250654741,297.078125,299.019642569802,299.421387273615,297.033991033381,297.980431782116,299.554342651367,300.261512964422,297.791841402921
"26",298.850433835116,298.327397641269,297.698425639759,299.116880728982,298.059164498069,297.549597722834,296.287350880016,297.838955133611,297.89619882757,299.024115059593,299.799339363792,296.947822640159,297.161414753307,298.309149100564,299.216375732422,297.307235301625,300.276962488348,297.932113508745,298.322358356823,299.171706182306,298.151567355069,298.292523054643,298.572373823686,297.568981448087,297.687315784801,297.971159154719,298.060912461714,297.864752058549,297.336971560392,297.503762817383,296.760511363636,298.634471477162,297.321875,298.931846271862,299.662658413974,297.090684717352,298.446814658425,299.631721912731,300.330478321422,297.678829817338
"27",299.20857925415,299.094563224099,298.163166254217,299.192841061679,298.517015075684,298.062324454568,296.549438753995,298.101799635454,298.122311886874,299.111478632147,299.559255287864,297.565138452703,297.796126903187,298.316674665971,298.766327389804,298.051755246249,300.197075098211,298.616928863525,299.059789276123,298.929504949396,298.321678161621,298.882177595659,298.738738528165,298.193411116167,298.079256855358,298.222447759455,298.159412661466,298.187542863326,297.650605288419,298.143081942472,297.536079545455,299.020951773904,297.988636363636,299.072303633256,299.717401123047,297.366988234086,299.104333426736,299.755186601119,299.997595492276,298.283113028786
"28",299.526876206832,299.476402698864,298.750165280429,299.376831262762,298.79571762085,298.506510370428,296.776575608687,298.426232632724,298.447183088823,299.261676510898,299.520473688299,298.326880021529,298.298029119318,298.28284294822,298.816676677357,298.619566692005,300.235326940363,298.94443990534,299.589410885898,299.007113023238,298.887445276434,299.346158807928,299.326074981689,298.373944091797,298.809781438654,298.490607937899,298.581782947887,298.79640010487,298.032247092507,298.680093869296,298.240909090909,299.205987410112,298.269034090909,299.303391265869,299.676949587735,297.84105238481,299.466709136963,299.931183624268,299.769914037531,299.109641404585
"29",299.88094739047,299.87944058505,299.363716749711,299.704224048961,298.863936961781,298.746043604071,297.802097667347,298.925657029585,298.965348607844,299.57309625799,299.570522447066,298.902226950906,298.762893538042,298.559265136719,299.068902102384,298.93814461448,300.306965983998,299.487154943293,299.820852106268,299.189435369318,299.436256131259,299.698992156982,299.678293748335,298.78342666626,299.387733528831,299.174112770774,299.142288554798,299.282222609086,298.636590437456,299.035928622159,298.700852272727,299.695848499645,298.902272727273,299.399543970281,299.392211775346,298.523201682351,299.868562247536,300.139066661488,299.75365857211,299.372727134011
"30",300.027650174228,299.964562086626,299.685316259211,299.798639470881,298.767908477783,299.007828799161,298.201583238082,299.249534884366,299.145802931352,299.242812902277,299.081857507879,298.896470225941,299.166083804044,298.437257038463,299.031734327836,299.059460102428,300.169007804177,299.797916828502,300.255248954079,298.686478562789,299.70415912975,299.953698453036,299.828895776922,299.233534171365,299.649166592685,299.527737426758,299.451461653276,299.65198579268,298.850358442827,299.182597281716,298.851988636364,300.08094884699,299.077272727273,298.840380096436,298.614286734841,298.611248640581,300.133994986794,300.283776647394,299.80902002508,299.611890966242
"31",299.591037611528,299.696059070934,299.723394151167,299.43842419711,298.536029330167,298.819909876043,297.913338886608,299.026456798207,298.925592942671,298.649783117121,298.081401547519,298.682188554244,298.942521598122,297.617808047208,298.875580180775,298.616490797563,299.420113997026,299.635448386452,299.915968530828,297.824281657826,299.67262136286,299.627156066895,299.453430314497,299.314387165416,299.553841885653,299.369304171476,299.177671328458,299.761430358887,298.543716708097,298.935087099942,298.771875,299.480808743564,298.740340909091,297.501808513295,297.947374586626,297.875349911776,299.993802504106,300.162958041104,298.22375051325,299.207744043524
"32",298.831731830944,298.566666620428,299.09653674039,298.743034293435,297.417851326682,297.679469299316,297.199465179443,298.030432891846,297.911502699419,298.160157637163,297.242141654275,297.958106370406,297.873956160112,296.358587923917,297.453375313499,297.6909896157,297.740416856246,298.594548797607,299.196886929599,295.867035189542,299.254295973344,298.889351445978,298.651240331476,298.033807650479,299.047132596103,298.462526425448,298.25480707342,298.849116308039,297.831313670765,297.575150992654,298.102272727273,298.279567441073,297.764772727273,296.50770742243,297.049767095392,296.997035494718,299.85288883556,299.064140042392,296.188715848056,298.338886954568
"33",297.580788144198,297.456962099942,298.00497228449,297.845145208185,296.723590920188,296.463791170987,296.481200894442,297.1488711964,297.085199043968,297.19941295277,296.508257501776,297.028642550382,296.984739407626,295.579261294278,296.621483889493,296.83738153631,296.706428250399,297.719341763583,298.186380212957,295.436945273659,298.198537583785,298.174171170321,297.647248493541,297.293384343928,298.398400115967,297.337958179821,297.987700722434,297.926059168035,296.856632856889,297.013508467241,297.227556818182,296.939048142867,296.829261363636,295.432097833807,296.349922180176,296.148580030961,299.199444094571,298.073023362593,295.746507193825,297.051257324219
"34",297.408059137518,297.020322071422,297.845762981068,297.396810705012,296.457078066739,296.18085528287,296.011569144509,296.532812430642,296.669894270463,296.687211678245,295.925254544345,296.857286418568,296.058896775679,294.949359130859,296.402550922741,296.307742170854,296.144575569846,297.178940512917,297.825070884011,295.617850147594,297.636813493208,297.972137104381,296.794116141579,296.656255479292,297.767872064764,296.980514526367,297.357798697732,297.306397594105,295.958579184792,296.214438074285,297.224715909091,297.165503692627,296.529261363636,295.524202173406,295.946436309814,295.321516279741,299.242428588867,297.755292233554,295.362584408847,296.714475666393
"35",297.20758486661,297.43110108809,298.348888744007,297.199747397683,296.6300350536,296.029011813077,295.861844496293,296.552924416282,296.069860354337,296.480932409113,296.014437311346,296.768311587247,296.381064258922,295.235055403276,296.612959913774,295.638442715732,296.167783910578,297.60678433505,297.886198772084,295.909111092307,298.070657348633,298.354027349299,297.265573952415,296.835655559193,297.902274114435,296.726112365723,297.333890117298,297.812726384943,296.051512423429,296.284829781272,297.302556818182,297.331870963357,296.478409090909,295.488967271285,296.26745966131,294.731887331876,299.884814522483,297.868931302157,295.206235365434,296.80525450273
"36",297.710188016025,297.913225763494,298.901172221791,298.010075100985,296.6596334284,296.288678949529,295.966004180908,296.851472889293,296.490443628485,296.829514936967,296.207174405185,296.958243699507,296.716721205278,295.738787633722,296.999707516757,295.948016496138,296.413656408137,297.90679806796,297.807383103804,295.5564453125,298.402204478871,298.682903775302,297.310169150613,296.997009554776,298.135501653498,297.461797679554,297.617363739014,298.05366266424,296.19552896673,296.607990334251,297.888068181818,297.637087249756,296.558238636364,295.557639590177,296.294739740545,294.833293221214,300.318262342973,298.550187058882,295.526026639071,297.063379946622
"37",298.097314661199,297.910909895463,299.093233767423,298.189210163463,296.981325461648,296.614475111528,296.319560449774,297.195475352894,296.770778656006,297.119037697532,296.468556213379,297.331747991389,297.118696732955,295.962917813388,297.224957760898,296.129579301314,296.114779455012,298.170968766646,297.889876833829,295.932437688654,299.080652895841,298.800693373247,297.672815704346,297.429629377885,298.541854303533,297.568932758678,297.896532024037,298.345806746049,296.352794855291,296.822505326705,298.012784090909,297.866956329346,297.086931818182,295.888491335782,296.751659740101,295.17465764826,300.48746511286,298.947939439253,295.39463223544,297.125431199507
