"V1","V2","V3","V4","V5"
"1",297.15531463623,297.183020990545,297.196018635143,297.160533350164,297.186113600297
"2",297.501722717285,297.477642336759,297.392546220259,297.313624988903,297.502990375866
"3",297.99339502508,298.135887700861,298.287992512096,298.010848999023,298.131922496449
"4",298.618278503418,298.472920573841,298.522432084517,298.454464028098,298.554537894509
"5",299.018931302157,299.15226912065,299.015138036555,298.947913083163,299.028310741078
"6",298.954558563232,299.287199055065,298.934400107644,299.313838057085,299.505275448886
"7",298.640586506237,298.833754452792,298.679298886386,298.848885206743,299.220467376709
"8",297.54994097623,298.221918279474,298.247319516269,298.069497056441,298.151179018888
"9",297.043274688721,297.21960809881,297.047125868364,297.259339974143,297.363360248912
"10",296.420270677046,296.777305672385,296.759182739258,296.727138311213,296.967443084717
"11",296.43865106756,296.901959089799,297.561428971724,296.767263793945,296.90390437733
"12",296.811131147905,296.939205308394,297.575272369385,297.343662816828,297.346112407338
"13",296.934464263916,297.090831687234,297.867314702814,297.656051635742,297.707001842152
"14",297.580508353493,297.535482163863,298.398545698686,298.222921614213,298.083571277965
"15",298.053214680065,297.910923628374,298.67345345237,298.488613891602,298.58894070712
"16",298.513687064431,298.650182134455,298.957163238525,299.094371795654,299.033962873979
"17",299.250059509277,299.179625285755,299.39277676669,299.483848987926,299.563420243697
"18",299.717196239125,299.526659323952,299.669884699041,299.707320473411,299.8712860801
"19",299.852832932906,299.364990234375,299.56620906483,299.56640957919,299.813757740368
"20",299.032798836448,298.418773512407,299.064826618541,298.564962283048,298.775949374112
"21",298.560958238082,297.709850935502,297.993361317028,298.314447298917,297.454615506259
"22",298.399764459783,296.869213936546,297.195866463401,297.581435533003,297.100518035889
"23",298.432843017578,297.235014551336,297.41250443892,298.391624103893,297.505144916881
"24",299.077890222723,297.639392436634,297.679775654186,298.797133844549,297.585411141135
"25",299.395845031738,297.756302781539,298.189971646396,299.372798295455,298.119848702171
"26",299.766721413352,297.943527845903,298.546819790927,299.560474326394,298.175163477117
"27",299.970431033048,298.112139961936,298.761457200484,299.770224207098,298.74252763228
"28",300.184415574507,298.534672962536,299.043941081654,300.110014065829,298.986566370184
"29",300.292546913841,298.928322254528,299.525344432484,300.30270912864,299.216172721169
"30",300.23559958718,299.309203893488,299.563891532204,300.360151394931,299.100558124889
"31",299.515454864502,299.246671641957,299.552643585205,300.390811365301,298.395683982156
"32",298.147787614302,298.494482213801,298.378962568803,299.403630690141,297.51325080178
"33",297.019301674583,297.447801000422,297.770822975852,298.113162092729,296.936534049294
"34",297.076993491433,296.741676746715,297.286652443626,298.095505801114,296.498046736284
"35",297.345823253285,296.843398146196,297.649832014604,297.957587571578,296.437544874711
"36",298.344118430398,297.033263882724,298.451554246382,298.471816045588,296.754625979337
"37",298.220880751176,297.219021953236,298.986031202836,299.038988286799,296.950553963401
"38",298.648145224831,297.318550734086,299.045105049827,299.009159643,297.436117414995
"39",298.753201710094,297.93834547563,299.072261394154,298.815393205123,297.908192097057
"40",298.882075014981,298.519770050049,299.236419747092,298.784593824907,298.44210357666
"41",299.230782248757,299.293554340709,299.284945123846,298.914358867298,298.975091760809
"42",299.094110523571,299.516594626687,299.399396306818,298.338241646507,299.482169688832
"43",298.855111208829,299.429711983421,298.319846898859,297.480672108043,299.428043018688
"44",297.318107951771,298.866732441295,297.495375061035,295.890290485729,298.488547654585
"45",296.956193056974,298.153150662509,296.852507227117,295.12289130471,297.889444316517
"46",296.656323935769,297.635707924583,296.662535095215,294.858305705677,297.26779424494
"47",296.765175489946,297.838524488969,296.987773409757,294.878567851673,297.565794719349
"48",297.03753675981,298.091261222146,296.921608803489,295.370444211093,298.155127091841
"49",297.072944433039,298.67309625799,297.172661382502,295.706132437966,298.501914353804
"50",297.719157548384,298.655904110995,297.586337904497,296.23683832342,298.660136621649
"51",298.212420099432,299.053462080522,297.734174416282,296.947041459517,298.71408996582
"52",298.775240187211,299.356378728693,298.148359610818,297.182764018666,299.357329143177
"53",299.33425618952,299.730228007923,298.538961375843,298.143929082697,299.953844382546
"54",299.700719313188,300.09441764138,298.947153889049,298.49435376254,300.136059778387
"55",299.886143979159,299.868810619007,298.554063970392,298.405128132213,300.160841855136
"56",299.547718533603,299.323168043657,297.512088082053,297.719886086204,299.089718905362
"57",299.060309184681,298.757528963956,296.169525077126,296.801035655629,298.522821599787
"58",298.870982083407,298.264098774303,296.295788019354,296.619389898127,298.146857799183
"59",299.234563862194,298.23780337247,295.876628251509,296.555051907626,298.239038918235
"60",299.626452012496,298.939520679821,296.138785691695,296.665974564986,299.044873116233
"61",299.949152166193,299.738114859841,296.267989141291,297.023864399303,299.384638214111
"62",299.958013153076,299.450226246227,296.668598105691,297.250550426136,299.374430916526
"63",299.747641476718,299.666921442205,297.23517851396,298.034525645863,299.375424957275
"64",299.896189394864,299.864418099143,297.937355735085,298.643217398904,299.375657098944
"65",299.893486092307,300.14681930542,298.546187799627,299.237742198597,299.501533993808
"66",299.608910994096,300.107035203414,299.009504422275,299.499421969327,298.797409820557
"67",298.555599767512,299.091194291548,299.084630931507,299.175555211847,298.14875758778
"68",297.147885547985,298.114910680597,298.366348752108,297.851350264116,296.864148157293
"69",296.345346901634,297.358472650701,297.22920885953,296.895677462491,295.693756242232
"70",296.090964091908,296.663284717907,296.939933568781,296.764549394087,295.502750258012
"71",295.99348227761,297.025655295632,296.975267098167,296.933781918612,295.969608029452
"72",296.310096602006,296.994467093728,297.438322864879,296.768522713401,296.164990581166
"73",296.404861034047,297.278915127841,297.469110038064,297.072248008034,296.214525951039
"74",297.157434082031,297.300645932284,298.197657082298,297.400412958319,296.61674749201
"75",297.698539525812,297.683221643621,298.487666043368,297.857323386452,297.018834131414
"76",298.38778963956,298.448055267334,298.873360443115,298.18883264715,297.943658724698
"77",298.742850494385,298.915446541526,299.339677637274,298.582558649236,298.754008483887
"78",298.97430156361,299.129442180287,299.498756061901,299.285104370117,298.776824673739
"79",298.446003306996,298.964218902588,299.409347672896,299.247962050004,298.613193095814
"80",297.108097561923,298.173261607777,298.781124531139,298.346038610285,297.877694979581
"81",296.09673836448,297.373862249201,297.685257374157,297.190816497803,296.992843558572
"82",295.589725563743,297.05526525324,297.627906105735,297.192685560747,296.626600785689
"83",295.459344066273,296.945543740012,297.884810291637,297.202055150812,296.783991380171
"84",295.979493019798,297.457781496915,298.158261871338,297.612811556729,297.27175653631
"85",296.115469915217,297.776320648193,298.508942135898,298.010834087025,297.533970850164
"86",296.61160548817,297.902561811967,298.462872730602,298.59725522128,297.997197237882
"87",297.373863358931,298.119498790394,298.382260409268,298.253205455433,298.587492439964
"88",297.649082738703,298.517946971547,298.446158183705,298.681552540172,298.904778914018
"89",298.134720472856,299.045323944092,299.057954961603,299.006225932728,299.262266748602
"90",298.517953838002,298.8664262945,298.678711977872,299.229832042347,299.430111139471
"91",298.031754164262,298.329811442982,298.147239546342,298.946327348189,298.524063873291
"92",297.258117259632,297.361365717108,297.181855704568,298.248461914062,297.531673570113
"93",296.150170412931,296.526308441162,296.41322368275,297.135463229093,296.811383542148
"94",295.364650032737,295.982624955611,296.0974148837,296.403248804266,296.271889287775
"95",295.429873726585,295.822273323753,296.532375196977,296.624447701194,296.184451363303
"96",295.57362462824,295.710679765181,296.620532573353,296.643378101696,296.368808468905
"97",295.70886369185,296.35840363936,296.872534249046,296.982454403964,296.374088079279
"98",295.983618094704,296.63475223888,297.173709522594,297.437594188343,296.83965696855
"99",296.853171747381,297.396072457053,297.992666071112,297.988003470681,297.233733159846
"100",297.465802279386,298.088097312234,298.287239490856,298.737633028897,297.999414548007
"101",298.023800451105,298.550272438743,298.870280317827,299.190181107955,298.656256103516
"102",298.431401478161,299.111500549316,299.401896598122,299.682645971125,299.051723480225
"103",298.387022607977,298.82912569913,299.229587138783,299.261026278409,298.999298095703
"104",297.869025559859,298.03524128307,298.464691092751,298.610998327082,298.079821153121
"105",297.241329817338,297.019946913286,297.731727461381,297.866943567449,297.375183660334
"106",296.709297735041,296.980462715843,296.756307983398,297.523624350808,297.189325922186
"107",296.520974523371,296.942807839134,297.185031752153,297.562255027077,297.158459264582
"108",296.816055714,297.296631275524,297.558030215177,298.11112761064,297.097402191162
"109",297.247099859064,297.425818148526,297.751319954612,298.415156277743,297.266923037442
"110",297.558705763383,298.033326235684,297.90572052002,298.430455988104,297.538402765447
"111",297.960769861395,298.444660741633,298.167177234996,298.949360726096,297.911569907448
"112",298.417666834051,298.926761280407,298.801864832098,299.348865717108,298.685391235352
"113",298.897805439342,299.303864912553,299.405123970725,299.602353806929,299.096290380305
"114",299.312929396196,299.792618005926,299.611728529497,299.669797377153,299.134109080922
"115",299.362524275346,300.134520444003,299.45539079146,299.423904210871,299.082165457986
"116",298.960733448375,299.988318911466,298.410566156561,298.610359816118,298.372351490368
"117",298.208197715066,299.737594535134,297.352041209828,297.933688007702,297.139614035866
"118",297.971155548096,299.92343306108,297.395477086848,297.376576579701,296.862301150235
"119",298.193898495761,300.204275859486,297.500366419012,297.558335390958,297.144386777011
"120",298.650690460205,300.575875299627,297.796087785201,298.383308410645,297.164718003707
"121",299.084857039018,300.42178698453,298.303237984397,298.260313554244,297.219684739546
"122",299.373132740368,300.362884660201,298.558867853338,298.271168795499,297.917013272372
"123",299.585914334384,300.105545113303,298.89850470803,299.035653755882,298.530738136985
"124",299.835460524126,300.044133550471,299.193452800404,299.605484979803,298.771837269176
"125",300.044712968306,299.962852200595,299.490754283558,300.10243918679,299.336476898193
"126",300.228787300803,299.479918670654,299.496412797408,300.280668848211,299.559073985707
"127",299.392733764648,297.611850322377,299.04349788319,300.315652188388,299.446050609242
"128",298.285076002641,295.797921059348,298.031393363259,299.761355174672,298.283095273105
"129",297.071176147461,295.004332941229,297.144957455722,299.366766496138,297.803795623779
"130",296.908666992187,294.640562716397,296.991689508612,299.089904507724,297.419228709828
"131",297.20744899403,294.921103806929,297.030458554355,299.273350316828,297.781329276345
"132",297.304385514693,295.462587876753,297.356310965798,300.019196388938,297.809407806397
"133",297.545330394398,295.761011851918,297.310702653365,300.283339483088,297.896887484464
"134",298.200562355735,296.328451468728,297.876915879683,299.8497215271,298.263653287021
"135",298.545994359797,296.834681216153,298.114511524547,299.733705694025,298.714868788286
"136",299.159727478027,297.362777918035,298.228180347789,299.611301075328,299.133007673784
"137",299.48771015514,298.063844299316,298.652398542924,299.483464050293,299.307125646418
"138",299.823405872692,298.713428982821,298.715648096258,298.679354719682,299.397948247736
"139",299.394042552601,298.517134232955,298.435403581099,297.783002679998,299.044908696955
"140",298.067351046475,297.603178752552,297.747308765758,296.415361716531,298.011300451105
"141",297.499034049294,296.5201632413,296.910234694047,295.636406291615,297.038266962225
"142",297.039418792725,295.988807955655,296.45645162409,295.497936942361,296.742478318648
"143",296.909727824818,295.9628445712,296.662161324241,295.753583457253,296.783810286088
"144",297.179404657537,296.490928303112,297.19103754217,295.899112146551,297.133932078968
"145",297.305308740789,296.718470902876,297.071550265225,296.42286196622,297.263911854137
"146",297.579849451238,297.133491932262,297.222545901212,297.154699290882,297.869168784402
"147",297.981957383589,297.314161751487,297.95511599454,297.321606584029,298.168786413019
"148",298.64114040028,297.504853751443,298.474438962069,297.990563548695,298.469959120317
"149",299.201776123047,298.039261557839,298.988903184371,298.448590018533,299.037756902521
"150",299.362138089267,298.576554870605,299.407932350852,298.940991210938,299.268220381303
"151",299.191634368896,298.650196144798,299.186708068848,299.04487249201,298.868904807351
"152",298.243306177313,298.324964766069,298.299222772772,298.074513105913,298.119940116189
"153",297.335546250777,297.214576235684,297.638845200972,297.207612540505,297.384008858421
"154",296.964022688432,296.470339757746,297.517486017401,296.642560508034,297.030589988015
"155",296.793883653121,296.487911501798,298.063173814253,296.550110071356,297.291086647727
