"x"
"280",1943-05-01
"281",1943-06-01
"282",1943-07-01
"283",1943-08-01
"284",1943-09-01
"285",1943-10-01
"286",1943-11-01
"287",1943-12-01
"288",1944-01-01
"289",1944-02-01
"290",1944-03-01
"291",1944-04-01
"292",1944-05-01
"293",1944-06-01
"294",1944-07-01
"295",1944-08-01
"296",1944-09-01
"297",1944-10-01
"298",1944-11-01
"299",1944-12-01
"300",1945-01-01
"301",1945-02-01
"302",1945-03-01
"303",1945-04-01
"304",1945-05-01
"305",1945-06-01
"306",1945-07-01
"307",1945-08-01
"308",1945-09-01
"309",1945-10-01
"310",1945-11-01
"311",1945-12-01
"312",1946-01-01
"313",1946-02-01
"314",1946-03-01
"315",1946-04-01
"316",1946-05-01
"317",1946-06-01
"318",1946-07-01
"319",1946-08-01
"320",1946-09-01
"321",1946-10-01
"322",1946-11-01
"323",1946-12-01
"324",1947-01-01
"325",1947-02-01
"326",1947-03-01
"327",1947-04-01
"328",1947-05-01
"329",1947-06-01
"330",1947-07-01
"331",1947-08-01
"332",1947-09-01
"333",1947-10-01
"334",1947-11-01
"335",1947-12-01
"336",1948-01-01
"337",1948-02-01
"338",1948-03-01
"339",1948-04-01
"340",1948-05-01
"341",1948-06-01
"342",1948-07-01
"343",1948-08-01
"344",1948-09-01
"345",1948-10-01
"346",1948-11-01
"347",1948-12-01
"348",1949-01-01
"349",1949-02-01
"350",1949-03-01
"351",1949-04-01
"352",1949-05-01
"353",1949-06-01
"354",1949-07-01
"355",1949-08-01
"356",1949-09-01
"357",1949-10-01
"358",1949-11-01
"359",1949-12-01
"360",1950-01-01
"361",1950-02-01
"362",1950-03-01
"363",1950-04-01
"364",1950-05-01
"365",1950-06-01
"366",1950-07-01
"367",1950-08-01
"368",1950-09-01
"369",1950-10-01
"370",1950-11-01
"371",1950-12-01
"372",1951-01-01
"373",1951-02-01
"374",1951-03-01
"375",1951-04-01
"376",1951-05-01
"377",1951-06-01
"378",1951-07-01
"379",1951-08-01
"380",1951-09-01
"381",1951-10-01
"382",1951-11-01
"383",1951-12-01
"384",1952-01-01
"385",1952-02-01
"386",1952-03-01
"387",1952-04-01
"388",1952-05-01
"389",1952-06-01
"390",1952-07-01
"391",1952-08-01
"392",1952-09-01
"393",1952-10-01
"394",1952-11-01
"395",1952-12-01
"396",1953-01-01
"397",1953-02-01
"398",1953-03-01
"399",1953-04-01
"400",1953-05-01
"401",1953-06-01
"402",1953-07-01
"403",1953-08-01
"404",1953-09-01
"405",1953-10-01
"406",1953-11-01
"407",1953-12-01
"408",1954-01-01
"409",1954-02-01
"410",1954-03-01
"411",1954-04-01
"412",1954-05-01
"413",1954-06-01
"414",1954-07-01
"415",1954-08-01
"416",1954-09-01
"417",1954-10-01
"418",1954-11-01
"419",1954-12-01
"420",1955-01-01
"421",1955-02-01
"422",1955-03-01
"423",1955-04-01
"424",1955-05-01
"425",1955-06-01
"426",1955-07-01
"427",1955-08-01
"428",1955-09-01
"429",1955-10-01
"430",1955-11-01
"431",1955-12-01
"432",1956-01-01
"433",1956-02-01
"434",1956-03-01
"435",1956-04-01
"436",1956-05-01
"437",1956-06-01
"438",1956-07-01
"439",1956-08-01
"440",1956-09-01
"441",1956-10-01
"442",1956-11-01
"443",1956-12-01
"444",1957-01-01
"445",1957-02-01
"446",1957-03-01
"447",1957-04-01
"448",1957-05-01
"449",1957-06-01
"450",1957-07-01
"451",1957-08-01
"452",1957-09-01
"453",1957-10-01
"454",1957-11-01
"455",1957-12-01
"456",1958-01-01
"457",1958-02-01
"458",1958-03-01
"459",1958-04-01
"460",1958-05-01
"461",1958-06-01
"462",1958-07-01
"463",1958-08-01
"464",1958-09-01
"465",1958-10-01
"466",1958-11-01
"467",1958-12-01
"468",1959-01-01
"469",1959-02-01
"470",1959-03-01
"471",1959-04-01
"472",1959-05-01
"473",1959-06-01
"474",1959-07-01
"475",1959-08-01
"476",1959-09-01
"477",1959-10-01
"478",1959-11-01
"479",1959-12-01
"480",1960-01-01
"481",1960-02-01
"482",1960-03-01
"483",1960-04-01
"484",1960-05-01
"485",1960-06-01
"486",1960-07-01
"487",1960-08-01
"488",1960-09-01
"489",1960-10-01
"490",1960-11-01
"491",1960-12-01
"492",1961-01-01
"493",1961-02-01
"494",1961-03-01
"495",1961-04-01
"496",1961-05-01
"497",1961-06-01
"498",1961-07-01
"499",1961-08-01
"500",1961-09-01
"501",1961-10-01
"502",1961-11-01
"503",1961-12-01
"504",1962-01-01
"505",1962-02-01
"506",1962-03-01
"507",1962-04-01
"508",1962-05-01
"509",1962-06-01
"510",1962-07-01
"511",1962-08-01
"512",1962-09-01
"513",1962-10-01
"514",1962-11-01
"515",1962-12-01
"516",1963-01-01
"517",1963-02-01
"518",1963-03-01
"519",1963-04-01
"520",1963-05-01
"521",1963-06-01
"522",1963-07-01
"523",1963-08-01
"524",1963-09-01
"525",1963-10-01
"526",1963-11-01
"527",1963-12-01
"528",1964-01-01
"529",1964-02-01
"530",1964-03-01
"531",1964-04-01
"532",1964-05-01
"533",1964-06-01
"534",1964-07-01
"535",1964-08-01
"536",1964-09-01
"537",1964-10-01
"538",1964-11-01
"539",1964-12-01
"540",1965-01-01
"541",1965-02-01
"542",1965-03-01
"543",1965-04-01
"544",1965-05-01
"545",1965-06-01
"546",1965-07-01
"547",1965-08-01
"548",1965-09-01
"549",1965-10-01
"550",1965-11-01
"551",1965-12-01
"552",1966-01-01
"553",1966-02-01
"554",1966-03-01
"555",1966-04-01
"556",1966-05-01
"557",1966-06-01
"558",1966-07-01
"559",1966-08-01
"560",1966-09-01
"561",1966-10-01
"562",1966-11-01
"563",1966-12-01
"564",1967-01-01
"565",1967-02-01
"566",1967-03-01
"567",1967-04-01
"568",1967-05-01
"569",1967-06-01
"570",1967-07-01
"571",1967-08-01
"572",1967-09-01
"573",1967-10-01
"574",1967-11-01
"575",1967-12-01
"576",1968-01-01
"577",1968-02-01
"578",1968-03-01
"579",1968-04-01
"580",1968-05-01
"581",1968-06-01
"582",1968-07-01
"583",1968-08-01
"584",1968-09-01
"585",1968-10-01
"586",1968-11-01
"587",1968-12-01
"588",1969-01-01
"589",1969-02-01
"590",1969-03-01
"591",1969-04-01
"592",1969-05-01
"593",1969-06-01
"594",1969-07-01
"595",1969-08-01
"596",1969-09-01
"597",1969-10-01
"598",1969-11-01
"599",1969-12-01
"600",1970-01-01
"601",1970-02-01
"602",1970-03-01
"603",1970-04-01
"604",1970-05-01
"605",1970-06-01
"606",1970-07-01
"607",1970-08-01
"608",1970-09-01
"609",1970-10-01
