"V1","V2","V3","V4","V5"
"144",1.36713334036146,1.44298884925593,1.10915795609753,1.47467678768692,1.01428424204453
"145",1.36003376626148,1.44389652774648,1.10944360915722,1.48293913144073,1.01443075753288
"146",1.34801772217264,1.44565382084008,1.11068817210503,1.47878212406969,1.0145585381537
"147",1.3335422210247,1.44615865702606,1.11007006550393,1.46704328020058,1.01349885860455
"148",1.31599753055062,1.44552370946164,1.10800454809593,1.44921320092448,1.01227511599752
"149",1.30025918110877,1.44403154178338,1.10198298448165,1.42943504200228,1.01359307527817
"150",1.28727354792964,1.44174452773389,1.09388400824773,1.41041679613771,1.013631443853
"151",1.28081138607789,1.43882699369339,1.085263297454,1.38933145492817,1.01491803488272
"152",1.2812183449796,1.43880443817583,1.09444073230337,1.38138954614595,1.01387784948552
"153",1.28308232095403,1.44192063028872,1.11491919706776,1.38460081352137,1.01173818458426
"154",1.29755560746807,1.44430351366264,1.14835301963111,1.38878530102583,1.00789186065399
"155",1.31112985653097,1.44581715012821,1.17523065384328,1.39319327905018,1.00023908834807
"156",1.32378814590751,1.44599788584604,1.1990585399816,1.39456421596343,0.996091897778102
"157",1.33500721583742,1.44669507036472,1.21522826915837,1.39132794701135,0.995520091664044
"158",1.34411419716943,1.44857086072553,1.22196103961631,1.38706578470966,0.995372969723767
"159",1.34886614290017,1.4493143571727,1.22022651481551,1.38452439525071,0.995813012813272
"160",1.34618235237908,1.44845236597315,1.21584978240962,1.38495918974189,0.995315459108014
"161",1.34020053219814,1.44532072394117,1.20892345439487,1.38966696772535,0.994440515658317
"162",1.33647979656566,1.44230664000794,1.20238192477306,1.40048240321515,0.991205032499833
"163",1.33352082421761,1.43976225193009,1.20336911200461,1.40604191718646,0.987158466586996
"164",1.33291385572493,1.43793520966761,1.2023415786354,1.38739305590799,0.986481737958958
"165",1.33421954572284,1.43801662797827,1.19890777932022,1.35477978469113,0.992250211497627
"166",1.33480875328558,1.43876096399367,1.1937737506806,1.31709683862128,0.995801544957606
"167",1.33976907135457,1.4395035274013,1.19182121501306,1.27868725958459,1.00286215181593
"168",1.34369882816468,1.44066735268946,1.18769528248182,1.25201917135176,1.01110754096504
"169",1.34316624443675,1.4390309189953,1.18483233067044,1.22935979800154,1.01726634074093
"170",1.3433972853038,1.43823312675765,1.18451133979998,1.21553553295732,1.01711426839337
"171",1.34337851265648,1.43561521834887,1.18682432505779,1.21071092482287,1.01563824722336
"172",1.3419135273797,1.43377557707536,1.19204677171581,1.21002170701195,1.00854631042041
"173",1.33942189524104,1.43073210266456,1.2033624528121,1.2168224706537,0.99661600480167
"174",1.33676889472326,1.42662753225039,1.2186762127816,1.22672965716048,0.986248238529597
"175",1.32898803977367,1.42698520289849,1.23905847744255,1.23432786400511,0.972726113891629
"176",1.32039763969693,1.42485078243776,1.24864907825741,1.23447127265514,0.968041532879029
"177",1.31656787880339,1.42267415583458,1.23705381247325,1.22839414367565,0.970907922780961
"178",1.3205621637926,1.42269153382492,1.22473837287675,1.22171331683417,0.979356668082207
"179",1.32086188985318,1.42263946426674,1.20841204726873,1.21177672599794,0.988744030909239
"180",1.31442931032043,1.42012486606724,1.20345128039315,1.20316970852686,0.988454882769811
"181",1.30287168505867,1.41275858336161,1.20720294360827,1.19894341603576,0.983300344593661
"182",1.28800929793357,1.40911947250246,1.21470503721367,1.19754217117959,0.975706099491862
"183",1.27403338998628,1.40387958737692,1.22852937454471,1.20296057190187,0.968269684377173
"184",1.25719929164229,1.39631743889744,1.24786436073817,1.20698488066595,0.963483529266921
"185",1.24287969239604,1.38797551652203,1.2687965459181,1.20877923158488,0.961856849644607
"186",1.23354807370045,1.37829913110248,1.28915432495601,1.20496847350712,0.973389789441355
"187",1.23414021329588,1.37601507277832,1.30158083406096,1.20116762817457,0.984281389167242
"188",1.23192982998154,1.37653501078101,1.30195048299245,1.20120149724632,0.979569056502211
"189",1.22405670711762,1.37841514880726,1.29973505057226,1.20262860151519,0.957714119097089
"190",1.21566893149801,1.37940946340502,1.29399274348478,1.20843131037364,0.931784316016751
"191",1.20998927187025,1.38586176229668,1.28838917735562,1.21480076213647,0.91527084951924
"192",1.20718984786204,1.38658919068908,1.28614654251731,1.21591983217668,0.902330362788404
"193",1.20305973201366,1.38749278804293,1.28480513923126,1.21736633704657,0.89298042698316
"194",1.20243152695248,1.38694875728893,1.28505285779641,1.21782070031925,0.890463064331502
"195",1.20227655205294,1.38675980725139,1.28501845822242,1.21753320392089,0.892039193194212
"196",1.20262642455515,1.38704972157613,1.28329542139497,1.21777889461101,0.900906337489059
"197",1.20428466132315,1.38786212097378,1.27757501397762,1.22011043921934,0.910983903147093
"198",1.20970563546142,1.38915010433524,1.27040519375021,1.21853171615342,0.921592790943409
"199",1.2122928278419,1.38840759476748,1.26669060034699,1.21658109663552,0.931265171068828
"200",1.20967676882661,1.3883240599506,1.2728762014176,1.21642454565815,0.931390651135001
"201",1.20276220914283,1.38880516550681,1.29317134803846,1.21524639143647,0.927288203512201
"202",1.19114254039974,1.3884997004474,1.31481148785251,1.2162365955856,0.919894867210328
"203",1.17474160456746,1.39005552951508,1.33473101066106,1.21594316048416,0.913350078258308
"204",1.1692524620107,1.39127466304259,1.35133087292264,1.21718961006589,0.910517894932449
"205",1.16394696351041,1.39266958074038,1.36438524090739,1.21920972763797,0.909802129738017
